연번,공원명,공원개요,조경/기반시설,운동시설,편의/교양시설,기타시설,이미지,공원주소,전화번호,X좌표(WGS84),Y좌표(WGS84),바로가기
11,성수근린공원,성수공원은 1996년부터 추진해온 ‘공장이적지 공원화사업’의 일환으로 삼익악기(주) 공장부지에 조성한 공원이다. 1998년 5월 준공되었으며 주요 시설물은 조경시설로 그늘시렁 1개소 돌담 2개소(251m) 산책로 등 있고 운동시설로 청소년을 위한 간이농구장이 마련되어 있다. 편의시설로는 음수대 1개소 벤치 25개소와 다목적 중앙광장이 있으며 관리시설로 공원등이 24개소가 있다.  수목은 소나무 계수나무 감나무 등 20종 2844그루가 자라고 초화류는 맥문동 수호초 등 13종 9980본이 식재되어 있다.,"그늘시렁, 돌담, 돌담 장식대, 광장 ",농구장 ,"음수대, 벤치 ",공원등 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1896,서울특별시 성동구 성수2가 3동 302-25,02-2286-5655,127.0524023,37.5448144,
12,샛마을근린공원,"강동구 중앙부에 위치한 명일동은 고려 성종 11년(994년) 공용으로 출장하는 관리들의 숙박소로'명일관'을 설치한 데서 유래하였다. 도시의 무분별한 팽창과 개발로 인한 공원용지 잠식으로 도시민들의 생활환경이 더욱 삭막해져가고 있던 중 서울시는 21세기 서울을 환경도시로 탈바꿈하고자 1996년 공원녹지확충 5개년 계획을 수립하여 추진하였다. 이 계획의 일환으로 강동구 심장부에 위치해 있으나 방치되어 있던 공원 용지를 시민을 위한 공원으로 조성하였으며, 자연성이 뛰어난 공원을 조성함으로써 도시민들에게 자연을 접할 기회를 제공하고 주민의 휴식과 정서 함양에 기여하고 있다. 반경 1km 이내에는 명일공원 길동생태공원과 같이 비교적 큰 공원이 위치하고 있다.",놀이터 ,"농구대, 체력단련시설, 다목적운동장 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1897,서울특별시 강동구 명일1동 288,02-3425-8820,127.1471618,37.5504807,
13,여의도근린공원,여의도 부근에는 1916년 일본군용 활주로와 격납고가 있었고 해방후에는 민간공항으로 이용하고 있었으나 1966년 대홍수로 1968년부터 3년간 윤중제방을 쌓아 오늘날의 여의도가 만들어졌다. 1971년 9월에 여의도광장을 조성 대규모 집회 행사와 자전거와 롤러를 타던 곳을 1997년 4월 10일부터 아스팔트를 걷어내고 숲과 문화의 마당이 있는 공원으로 조성했다. ,"산책로, 광장, 연못(지당연못, 생태연못, 잔디마당연못) ",자전거 도로 ,"편의점, 화장실, 팔각정, 사모정, 공원지구대, 공원파출소, 한강둔치 연결 지하보도, 자전거보관대 ","관리사무실, 공원등, 스프링클러 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1898,서울특별시 영등포구 여의공원로 68 (여의도동),02-761-4078~9,126.922377,37.526129,http://parks.seoul.go.kr/template/sub/yeouido.do
14,간데메근린공원,옛날 답십리 일대에 원말(원촌) 넘말(월촌) 간데메(중산)의 마을이 흩어져 있었는데 그 가운데 중산(中山)을 따서 간데메로 지정하였다. 동대문구는 조선시대 한성부 도성 동쪽에 위치한 비옥한 농경지와 교통의 요충지로 국왕의 친경지였던 적전과 풍년을 기원하며 제사를 지내는 선농단 한글을 창제하신 세종대왕을 기리는 세종대왕 기념관의 각종 문화재 등 선조의 숨결이 그대로 배어 있는 역사의 향기가 어린 고장이다. 서울시에서 96년 공원녹지확충 5개년계획의 일환으로 공원녹지가 부족한 동대문구의 주택밀집 지역에 위치한 전매청 창고 부지에 근린공원을 조성하게 되었다. ,"파고라, 놀이시설, 조합놀이대 ",운동기구 ,"화장실, 팔각정, 자전거보관대 ",관리사무소 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1899,서울특별시 동대문구 서울시립대로2길 59(간데메공원),02-2127-4772,127.0488644,37.5732438,
15,훈련원근린공원,"이곳 훈련원 터는 병사의 무술훈련 및 병서전투대형 등의 강습을 맡았던 훈련원이 있었다. 훈련원은 조선 태조 원년(1392)에 설치되어 처음에는 훈련관으로 불렀는데 태종 때 이곳으로 옮겨 청사 남쪽에 활쏘기 등 무예를 연습하고 무과시험을 보는 대청인 사청을 지었으며 세조 12년(1466)에 훈련원으로 고쳤다. 현재의 훈련원공원 및 주차장이 건설되기 이전 이곳에는 적벽돌로 장식되고 내부구조는 백두산에서 벌목되어 압록강을 따라 황해로 운반된 육송으로 지어진 목조건물이 있었다. 이 건물 철거시 회수한 목재를 가공하여 여기 안내판을 제막하는데 사용함으로써 옛 내음을 보존하고자 하였다. 1997년 6월 30일 개원했으며 잔디밭, 음수대, 안개분수 등의 조경시설과 관리실, 화장실, 벤치 등의 편익시설을 갖췄다",광장 ,"운동기구, 종합체육관 ","야외의자, 화장실 ",-,https://parks.seoul.go.kr/file/info/view.do?fIdx=229887,서울특별시 중구 을지로 227,02-3396-5852,127.0038188,37.5675245,
16,영등포근린공원,1933년 맥주회사로 출발 60여년동안 약 백억병의 맥주를 생산해 온 우리나라 최대 맥주회사 중 하나인 OB맥주(주)의 최초 공장터로 97년 경기도 이천으로 공장이 이전되면서 서울시에서 공원녹지확충 5개년 계획에 따라 부지를 매입하여 97년부터 98년 7월까지 공원으로 조성하였다. 맥주제조에 이용되던 담금솥을 이 공원의 랜드마크(Land Mark) 로 남겨두었다. ,"파고라, 연못, 개울, 벽천, 잔디밭 ","농구장, 배드민턴장, 풋살경기장 ","음악분수, 주차장, 공중전화, 음수전, 화장실, 의자, 야외정자 ","관리사무소, 공원등, 안내판 ",,서울특별시 영등포구 신길로 275,02-2670-3764,126.910662,37.515423,
17,보라매공원,"보라매공원은 서울특별시 동작구 신대방동 395번지 대방로 219 일대인 옛날 공군사관학교 자리(현주소 신대방동 722)를 1985년 12월 20일에 인수하여 정비 후 1986년 5월 5일 개원하면서 공군사관학교 상징인 '보라매' 명칭을 이어받아 현재에 이르고 있다. 주요 시설로는 중앙트랙, 다목적운동장, 인조잔디축구장, 배드민턴장, 암벽등반장 등 체육시설과 맨발공원, 편의점, 화장실 등 각종 편익 시설도 구비되어 있다. 특히 퇴역한 비행기 8대가 전시된 에어파크는 옛 공군사관학교의 정기를 느낄 수 있으며 공원 내에는 한국 자유총연맹 서울시지부 한국청소년연맹 서울시립보라매청소년터시립발달장애인복지관 남부장애인종합복지관 동작경찰서보라매파견소 보라매안전체험관 등 11개 기관이 입주하고 있다.","잔디마당, 수경시설(연못, 벽천), 철쭉동산, 맨발길 ","중앙트랙, 인조잔디축구장, 테니스장, 다목적운동장, 배드민턴장, 인공암벽등반장, 게이트볼장, 야외운동기구, 농구장, X-game장, 인라인스케이트장 ","주차장, 매점, 음수대, 그늘막, 화장실, 벤치, 풍경놀이터, 어린이놀이터, 바닥분수, 테마물놀이터, 에어파크, 보라매청소년센터, 보라매안전체험관 ","노인종합복지관, 발달장애인복지관, 장애인종합복지관, 동작경찰서 보라매파견소 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1902,서울특별시 동작구 여의대방로20길 33(보라매공원),02-2181-1113~4,126.918289,37.492333,http://parks.seoul.go.kr/template/sub/boramae.do
18,어린이대공원,"서울어린이대공원은 53만여㎡의 넓은 공간 속에 동물원, 식물원, 놀이동산 및 다양한 공연시설과 체험공간이 가득한 어린이 가족테마공원이다. 1973년 5월 5일(제51회 어린이날) 개원한 이후 도심 속 쉼터로 시민 여러분들께 꾸준한 사랑을 받아온 어린이대공원은 이용시민들의 관람 편의성 향상을 위해 낡고 불편해진 시설을 교체하는 단계적 리모델링 사업을 통해 2009년 5월 5일 재탄생하였다. 또한, 어린이 및 가족을 대상으로 한 다양한 종류의 체험프로그램(동물학교, 생태탐방교실 등)을 상시 운영하고 있다.",분수대 ,-,"야외음악당, 식당, 동물원, 식물원 ",놀이동산 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1903,서울특별시 광진구 능동로 216(서울어린이대공원),02-450-9311,127.0809212,37.5498987,http://www.sisul.or.kr/open_content/childrenpark/
19,천호근린공원,"천호공원은 강동구 천호동에 위치한 공원으로 야외무대, 연못, 농구장 등 체력단련시설을 갖추고 시민들의 여가생활 및 노년층의 휴식공간으로 각광을 받고 있습니다.","광장, 연못 ","배드민턴장, 농구장, 족구장, 체력단련시설 ","야외무대, 벤치, 팔각정자, 평상, 원형테이블, 피크닉테이블, 음수대 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1904,서울특별시 강동구 올림픽로 702(천호공원),02-474-2770/ 02-489-2776,127.1263451,37.5444741,http://parks.seoul.go.kr/template/sub/cheonho.do
20,용산가족공원,넓은 잔디밭과 연못 등 서구풍의 공원 모습을 느낄 수 있는 곳으로 임진왜란(1592~1598년)때 왜군이 병참기지(兵站基地)로 사용하였고 임오군란(1882년)때는 청나라 군사가 점유하였으며 갑신정변(1884년)과 러일전쟁(1904년) 그리고 1906년부터 1945년 해방 전 까지 일본인들이 군 시설 및 거주지 등으로 사용하였다. 6?25 때 UN군 및 주한미군사령부가 설치되었던 것을 1992년 서울시에서 인수하여 공원으로 조성한 것이다. 또 남산과 한강 사이에 위치해 서울시의 남북 녹지축의 연결고리로 서울시 녹지체계의 구심점이 되며 중앙공원의 성격을 띄고 있다. 전체 공원부지중 골프장이 들어 서있던 곳에 언덕 잔디 광장 연못을 위주로 개방적이고 단란한 분위기의 공원이 조성되어 서울시민들의 자유롭고 평화로운 휴식처로 각광을 받고 있다. ,"잔디광장, 연못, 자연학습장, 맨발공원, 태극기공원 ","철봉, 평행봉, 역기, 윗몸일으키기 등 ","정자, 원두막, 주차장, 음수대, 공중전화, 화장실, 벤치, 자동판매기, 국제조각품 ","야외예식장, 빗물펌프장, 공원가로등 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1905,서울특별시 용산구 서빙고로 185,02-792-5660,126.983335,37.522226,https://parks.seoul.go.kr/template/sub/yongsan.do
21,독립근린공원,1992년 8월 15일 개원한 독립공원은 조국의 독립을 위해 항거하다 옥고를 치렀던 애국지사의 자주독립 정신을 후손에게 기억시키기 위해서 만들어졌습니다. 그동안 독립공원은 공원입구에 주택ㆍ상가지역이 무질서하게 자리 잡고 주요 시설이 산재되어 있어 시민들의 공원 이용에 불편이 많았으나 2007년 4월 16일부터 추진한 독립공원 재조성 사업을 통해 2009년 10월 28일 재개장하여 독립문 역사관 독립관 순국선열추념탑 등을 유기적으로 연결함과 동시에 시민이용에 불편을 초래했던 노후한 공원시설을 정비하여 공원을 방문하는 학생 관광객 시민고객들의 편의를 최대화 하였습니다. 특히 독립문은 그동안 시민들의 접근을 제한하였으나 서대문독립공원 재조성 사업으로 인하여 112년 만에 시민들에게 개방하게 되었습니다. 서대문독립공원은 역사의 현장임과 동시에 주민들의 포근한 쉼터이기도 하고 자연 속 휴식처 어울 쉼터에서는 다양한 체육시설을 이용하고 여가를 즐길 수 있으며 또한 부모와 자녀가 함께 공부를 할 수 있는 환경이 조성되어 있어 아이들이 배울 역사의 산 교육장소입니다.,-,-,"방문자센터, 순국선열추념탑, 서재필선생동상, 독립관, 3?1독립선언기념탑, 독립문, 형무소 역사관, 이진아기념도서관 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1907,서울특별시 서대문구 통일로251(독립공원),02-364-4686,126.956771,37.5738289,
22,낙산근린공원,낙산은 서울의 형국을 구성하던 내사산(남산 인왕산 북악산 낙산)의 하나로 풍수지리상 주산인 북악산의 좌청룡에 해당하는 산이다. 이렇게 소중한 자연환경과 문화유산을 지니고 있는 낙산은 일제의 강점기를 거쳐 현재에 이르기까지 상당한 부분 파괴 ? 소실되었고 특히 60년대 이후의 근대화 과정에서 무분별한 도시계획으로 인해 아파트와 주택이 낙산을 잠식한 채 오랜 시간 방치되어 역사적 유물로서의 제 기능을 상실하게 되었다.,"관리도로, 산책로, 역사탐방로, 광장(중앙광장, 놀이광장, 전망광장) ","배드민턴장, 농구장 ","주차장, 비우당, 홍덕이밭, 전시실, 매점, 화장실, 육각정자, 노인정, 파고라, 의자, 음수대 ",안내판 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1908,서울특별시 종로구 낙산길 41 (우) 03085,02-743-7985~6,127.007587,37.580477,http://parks.seoul.go.kr/template/sub/naksan.do
23,매헌시민의숲,"매헌시민의숲은 우리나라 최초로 숲 개념을 도입한 공원으로 울창한 숲을 이루고 있는 공원입니다. 매헌로를 기준으로 북측 구역에는 야외운동장, 어린이놀이터 등이 있으며 사계절 풍경이 아름다워 공원을 산책하는 시민들에게 사랑받는 공간입니다. 남측 구역에는 유격 백마부대 충혼탑과 우면산 산사태 희생자 추모비 등이 있습니다.","잔디광장, 파고라 ","배구장(족구장 겸용), 농구장, 테니스장 ","정자, 음수대, 화장실, 야외 예식장, 윤봉길의사 기념관, 윤봉길 의사 동상 ","백마부대 충혼탑, 대한항공 858편 위령탑, 삼풍백화점 희생자 위령탑, 우면산 산사태 희상자 추모비 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1909,서울특별시 서초구 매헌로 99 (양재동),02-575-3895/ 02-578-7089,127.035042,37.471225,http://parks.seoul.go.kr/template/sub/citizen.do
24,관악산공원,"관악산은 서울시 관악구 신림동과 금천구 시흥동 독산동과 경기도 안양시 과천시에 걸쳐있다. 관악산(높이 629m)은 1973년 관악구가 영등포구에서 분리되면서 명산으로서의 산 이름이 구의 명칭이 되어 관악구의 상징이자 자랑이 되고 있으며 관악구 문화유산의 대부분이 관악산에서 비롯되었다. 1968년에 건설부 고시 제34호로 도시자연공원으로 지정된 후 2020년에 서울특별시 고시 제2020-254호로 근린공원과 도시자연공원구역으로 변경 결정되었고, 오늘날에는 수많은 서울 시민들이 즐겨 찾는 휴식처로 서울의 명소가 되었다.  관악산 정상에는 지상 레이더 관측소와 조선 태조 이성계가 서울을 도읍지로 정할 때 연주사와 원각사 두 절을 지어 화환(火患)에 대처했다고 하는 정상의 원각사와 연주암을 비롯하여 크고 작은 사찰과 암자가 있는데 아슬아슬한 벼랑 위에 자리 잡고 있는 연주대는 관악산의 모든 등산로가 집결하는 곳이다. ",관악산호수 ,-,"낙성대, 연주대, 삼막사, 관음사 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1910,서울특별시 관악구 관악로 1(관악산공원),02-879-6521,126.96413,37.445208,
25,효창근린공원,효창원(孝昌園)은 본래 조선조 22대 정조대왕(正祖大王)의 장남인 문효세자(文孝世子)와 그의 생모(生母)인 의빈(儀嬪) 성(成)씨와 순조(純祖)의 후궁 숙의(淑儀) 박(朴)씨 및 영온 옹주(永溫翁主)의 묘가 안장되었으나 일제의 간교하에 사적(史蹟)의 격하를 위해 1924년 경성부가 효창원 일부를 공원으로 개발하고 1940년 총독부고시 제208호에 의해 공원으로 지정되었다. 일제 말기 세자 묘를 경기도 고양시 소재 서삼릉(西三陵)에 강재로 옮김에 따라 효창원은 효창공원이 되었다.  광복과 더불어 환국한 임시정부 주석인 백범(白凡) 김구(金九)선생이 조국 광복을 위해 기꺼이 목숨을 바친 이봉창(李奉昌) 윤봉길(尹奉吉) 백정기(白貞基) 의사(義士)의 유해와 안중근(安重根)의사의 가묘(假墓)를 1946년 7월 효창공원에서 국민장(國民葬)으로 지금의 삼의사 묘역에 안장하였고 1948년 9월에는 중국 땅에서 순국한 임시정부 의장과 주석을 지낸 이동녕(李東寧) 국무원비서장(國務院秘書長)을 지낸 차이석(車利錫)선생의 유해와 군무부장(軍務部長)을 역임하고 귀국 후 서거한 조성환(曺成煥)선생을 지금의 임정요인 묘역에 안장시켰다. 1949년 6월에는 김구선생이 흉탄에 쓰러지자 그해 7월 5일 국민장으로 공원 서북쪽 언덕에 안장하였다. 이후 이 일대가 독립운동에 앞장선 선열들의 묘역으로 자리 잡게 되었다.  1978년 3월 10일 효창공원 순국선열추모위원회가 발족된 후 임시정부 수립일인 4월 13일을 7위선열 합동추모제로 매년 봉행되고 있으며 1988년 11월 정부주도하에 효창공원 정비공사가 추진되어 의열사(義烈祠)와 창열문(彰烈門)이 건립되었고 1989년 6월에는 사적제330호로 지정되었다. 현재 효창공원에는 선열묘역과 공원관리사무소 어린이놀이터 배드민턴장 체육시설등의 편의시설과 반공투사위령탑 원효대사상 백범기념관 대한노인회등이 자리 잡고 있다. ,"자연학습장, 연못, 데크로드 ","농구장, 배드민턴장, 게이트볼장, 체력단련시설 ","매점, 공중전화, 화장실, 음수대, 야외탁자, 의자, 시계탑, 어린이놀이터, 정자, 파고라, 의열사, 백범김구선생 묘역, 삼의사묘역, 임정요인묘역, 백범기념관, 이봉창의사 동상 ","관리사무소, 공원등, 안내판, 반공투사 위령탑, 원효대사상 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1912,서울특별시 용산구 효창원로 177-18,02-2199-7607,126.95993,37.545234,
26,감로천생태공원(관악산),"2026년 현재 국립서울현충원에는 국가원수, 독립유공자 등 200,935분을 안장하고 있다.","생태연못, 감로천별빛다리, 목재데크길 ",야외운동기구 ,-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1913,서울특별시 금천구 독산동 373 일대,02-2627-1655,126.9079509,37.469625,
27,개운산근린공원,개운산공원은 1940년 3월 12일 지정된 마을동산 성격의 산지형 공원이다. 돈암동 안암동 종암동 등으로 둘러 쌓여 있으며 성신여자대학교와 고려대학교가 인접하여 있고 면적은 297926㎡이며 공원인근에는 개운산스포츠센터가 위치하고 있다. 산 형세는 자연스런 형태로 힘들지 않게 산책할 수 있으며 운동장이 있어 축구 게이트볼 배드민턴 테니스 등 운동을 할 수 있다. 전에는 아까시나무와 현사시나무가 많았으나 도시환경림 조성으로 불량수목을 제거하고 잣나무 참나무류 팥배나무 산벚나무 등 많은 수목 등이 자라고 있다. 개운산은 나라의 운명을 새롭게 열었다는 뜻의 개운사 절이 있어 붙여진 이름이다. 또 안암동에 있어‘안암산’으로 종암1동의 진씨(陳氏) 성을 가진 사람의 채석장이 있어‘진석산(陳石山)’으로도 불리운다. 공원내에는 향토수목 32종 3290주가 식재되어 있어 자연학습관찰로를 조성하여 어린이 및 학생들이 이용하고 있다. 개운산운동장에는 2003년에 66m의 지압보도와 정자 및 핸드레일을 설치하고 주변에 나무를 심어 가족이 함께 운동과 휴식을 겸할 수 있는 공원으로 많은 시민들이 이용한다.,"산책로(산마루길, 목재데크산책로, 오솔길), 자연학습장, 지압보도 ","축구장, 배드민턴장, 족구장 ","공원이용지원센터, 화장실, 정자 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1914,서울특별시 성북구 북악산로 949-73(돈암동 6-1),02-2241-3667,127.0252858,37.5965837,
28,개웅산근린공원,개웅산공원은 서울시 개봉동 일대와 오류동에 인접한 개웅마을의 지형이 움푹 들어간 관계로 난리 때마다 총탄이 개웃개웃 피해 가서 개웅마을이라 불리고 산 이름도 붙여졌다고 한다. 서울시의 오류동과 개봉동 경계에 위치하고 능선이 세 방향으로 뻗어 내려 삼각형 모양을 이루고 있는 산으로서 산 전체가 단풍나무 아까시나무 소나무 참나무 등 다양한 식생이 잘 보존된 전형적인 자연상태의 공원이다.  연간 100000여 명의 시민들이 개웅산을 이용하고 있으며 등산로 주변에 약수터와 배드민턴장 체력단련장 허리 돌리기 등 운동기구와 의자 등 휴게시설이 등산로 곳곳에 설치되어 많은 시민들로부터 좋은 반응을 얻고 있다. 매년 이용시민의 수가 늘어남에 따라 2006년에 쾌적하고 아름다운 공원으로 조성하였다. ,-,"배드민턴장, 철봉, 허리돌리기, 역기 등 운동기구 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1915,서울특별시 구로구 오류동 산13-1,02-860-3165,126.8485734,37.4888943,
